beatsPerMinute,beatAvg,GSR
0.0,0.0,662.0
0.0,0.0,590.0
0.0,0.0,537.0
0.0,0.0,516.0
0.0,0.0,661.0
0.0,0.0,629.0
0.0,0.0,586.0
0.0,0.0,547.0
0.0,0.0,661.0
0.0,0.0,645.0
0.0,0.0,613.0
0.0,0.0,572.0
0.0,0.0,661.0
0.0,0.0,651.0
0.0,0.0,624.0
0.0,0.0,588.0
0.0,0.0,661.0
0.0,0.0,653.0
0.0,0.0,629.0
0.0,0.0,598.0
0.0,0.0,661.0
0.0,0.0,651.0
0.0,0.0,630.0
0.0,0.0,604.0
0.0,0.0,661.0
0.0,0.0,651.0
0.0,0.0,630.0
0.0,0.0,603.0
0.0,0.0,661.0
0.0,0.0,651.0
0.0,0.0,633.0
0.0,0.0,607.0
0.0,0.0,661.0
0.0,0.0,649.0
0.0,0.0,629.0
0.0,0.0,609.0
0.0,0.0,660.0
0.0,0.0,649.0
0.0,0.0,632.0
0.0,0.0,612.0
0.0,0.0,660.0
0.0,0.0,649.0
0.0,0.0,635.0
0.0,0.0,615.0
0.0,0.0,661.0
0.0,0.0,647.0
0.0,0.0,636.0
0.0,0.0,614.0
0.0,0.0,660.0
0.0,0.0,644.0
0.0,0.0,635.0
0.0,0.0,616.0
0.0,0.0,660.0
0.0,0.0,642.0
0.0,0.0,636.0
0.0,0.0,619.0
0.0,0.0,660.0
0.0,0.0,643.0
0.0,0.0,636.0
0.0,0.0,624.0
0.0,0.0,660.0
0.0,0.0,640.0
0.0,0.0,632.0
0.0,0.0,620.0
0.0,0.0,660.0
0.0,0.0,638.0
0.0,0.0,629.0
0.0,0.0,623.0
0.0,0.0,661.0
0.0,0.0,635.0
0.0,0.0,628.0
0.0,0.0,623.0
0.0,0.0,669.0
0.0,0.0,635.0
0.0,0.0,622.0
0.0,0.0,626.0
0.0,0.0,660.0
0.0,0.0,638.0
0.0,0.0,623.0
0.0,0.0,628.0
0.0,0.0,658.0
0.0,0.0,638.0
0.0,0.0,620.0
0.0,0.0,628.0
0.0,0.0,659.0
0.0,0.0,639.0
0.0,0.0,621.0
0.0,0.0,627.0
0.0,0.0,660.0
0.0,0.0,641.0
0.0,0.0,622.0
0.0,0.0,627.0
0.0,0.0,661.0
0.0,0.0,640.0
0.0,0.0,614.0
0.0,0.0,619.0
0.0,0.0,662.0
0.0,0.0,642.0
0.0,0.0,613.0
0.0,0.0,620.0
0.0,0.0,662.0
0.0,0.0,641.0
0.0,0.0,611.0
0.0,0.0,617.0
0.0,0.0,663.0
0.0,0.0,648.0
0.0,0.0,618.0
0.0,0.0,616.0
0.0,0.0,662.0
0.0,0.0,647.0
0.0,0.0,620.0
0.0,0.0,614.0
0.0,0.0,662.0
0.0,0.0,646.0
0.0,0.0,622.0
0.0,0.0,615.0
0.0,0.0,662.0
0.0,0.0,647.0
0.0,0.0,622.0
0.0,0.0,610.0
0.0,0.0,662.0
0.0,0.0,647.0
0.0,0.0,622.0
0.0,0.0,606.0
0.0,0.0,662.0
0.0,0.0,647.0
0.0,0.0,625.0
0.0,0.0,604.0
0.0,0.0,663.0
0.0,0.0,647.0
0.0,0.0,625.0
0.0,0.0,602.0
0.0,0.0,663.0
0.0,0.0,649.0
0.0,0.0,627.0
0.0,0.0,605.0
0.0,0.0,661.0
0.0,0.0,649.0
0.0,0.0,627.0
0.0,0.0,604.0
0.0,0.0,663.0
0.0,0.0,650.0
0.0,0.0,626.0
0.0,0.0,601.0
0.0,0.0,663.0
0.0,0.0,649.0
0.0,0.0,627.0
0.0,0.0,600.0
0.0,0.0,663.0
0.0,0.0,649.0
0.0,0.0,629.0
0.0,0.0,601.0
0.0,0.0,663.0
0.0,0.0,649.0
0.0,0.0,631.0
0.0,0.0,601.0
0.0,0.0,663.0
0.0,0.0,650.0
0.0,0.0,629.0
0.0,0.0,598.0
0.0,0.0,663.0
0.0,0.0,654.0
0.0,0.0,631.0
0.0,0.0,599.0
0.0,0.0,663.0
0.0,0.0,651.0
0.0,0.0,632.0
0.0,0.0,601.0
0.0,0.0,664.0
0.0,0.0,653.0
0.0,0.0,633.0
0.0,0.0,600.0
0.0,0.0,664.0
0.0,0.0,655.0
0.0,0.0,634.0
0.0,0.0,603.0
0.0,0.0,663.0
0.0,0.0,654.0
0.0,0.0,632.0
0.0,0.0,606.0
0.0,0.0,663.0
0.0,0.0,654.0
0.0,0.0,633.0
0.0,0.0,610.0
0.0,0.0,663.0
0.0,0.0,654.0
0.0,0.0,636.0
0.0,0.0,609.0
0.0,0.0,663.0
0.0,0.0,652.0
0.0,0.0,639.0
0.0,0.0,612.0
0.0,0.0,663.0
0.0,0.0,649.0
0.0,0.0,636.0
0.0,0.0,615.0
0.0,0.0,662.0
0.0,0.0,650.0
0.0,0.0,639.0
0.0,0.0,619.0
0.0,0.0,662.0
0.0,0.0,648.0
0.0,0.0,640.0
0.0,0.0,620.0
0.0,0.0,662.0
0.0,0.0,645.0
0.0,0.0,639.0
0.0,0.0,621.0
0.0,0.0,662.0
0.0,0.0,641.0
0.0,0.0,638.0
0.0,0.0,624.0
0.0,0.0,662.0
0.0,0.0,643.0
0.0,0.0,636.0
0.0,0.0,627.0
0.0,0.0,662.0
0.0,0.0,640.0
0.0,0.0,632.0
0.0,0.0,629.0
0.0,0.0,662.0
0.0,0.0,638.0
0.0,0.0,627.0
0.0,0.0,624.0
0.0,0.0,662.0
0.0,0.0,637.0
0.0,0.0,628.0
0.0,0.0,627.0
0.0,0.0,662.0
0.0,0.0,637.0
9.0,0.0,625.0
0.0,0.0,627.0
0.0,0.0,662.0
0.0,0.0,638.0
9.0,0.0,622.0
0.0,0.0,626.0
0.0,0.0,662.0
0.0,0.0,639.0
9.0,0.0,617.0
0.0,0.0,622.0
0.0,0.0,662.0
0.0,0.0,641.0
9.0,0.0,615.0
0.0,0.0,623.0
0.0,0.0,662.0
0.0,0.0,643.0
9.0,0.0,618.0
0.0,0.0,622.0
0.0,0.0,662.0
0.0,0.0,643.0
9.0,0.0,616.0
0.0,0.0,618.0
0.0,0.0,662.0
0.0,0.0,644.0
9.0,0.0,615.0
8.0,0.0,613.0
0.0,0.0,662.0
0.0,0.0,645.0
9.0,0.0,618.0
8.0,0.0,609.0
0.0,0.0,662.0
0.0,0.0,646.0
9.0,0.0,621.0
8.0,0.0,614.0
0.0,0.0,662.0
0.0,0.0,646.0
9.0,0.0,620.0
8.0,0.0,609.0
0.0,0.0,662.0
0.0,0.0,647.0
9.0,0.0,622.0
8.0,0.0,606.0
0.0,0.0,662.0
0.0,0.0,646.0
9.0,0.0,624.0
8.0,0.0,604.0
0.0,0.0,662.0
0.0,0.0,647.0
9.0,0.0,626.0
8.0,0.0,606.0
7.0,0.0,662.0
