beatsPerMinute,beatAvg,GSR
0.0,0.0,674.0
0.0,0.0,608.0
0.0,0.0,564.0
0.0,0.0,539.0
0.0,0.0,671.0
0.0,0.0,639.0
0.0,0.0,603.0
0.0,0.0,576.0
0.0,0.0,671.0
0.0,0.0,651.0
0.0,0.0,623.0
0.0,0.0,600.0
0.0,0.0,672.0
0.0,0.0,654.0
0.0,0.0,631.0
0.0,0.0,613.0
0.0,0.0,673.0
0.0,0.0,654.0
0.0,0.0,633.0
0.0,0.0,619.0
0.0,0.0,671.0
0.0,0.0,654.0
0.0,0.0,632.0
0.0,0.0,619.0
0.0,0.0,673.0
0.0,0.0,654.0
0.0,0.0,633.0
0.0,0.0,621.0
0.0,0.0,671.0
0.0,0.0,654.0
0.0,0.0,633.0
0.0,0.0,618.0
0.0,0.0,673.0
0.0,0.0,655.0
0.0,0.0,634.0
0.0,0.0,616.0
0.0,0.0,673.0
0.0,0.0,656.0
0.0,0.0,634.0
0.0,0.0,616.0
0.0,0.0,673.0
0.0,0.0,656.0
0.0,0.0,635.0
0.0,0.0,615.0
0.0,0.0,673.0
0.0,0.0,657.0
0.0,0.0,636.0
0.0,0.0,615.0
0.0,0.0,673.0
0.0,0.0,658.0
0.0,0.0,637.0
0.0,0.0,616.0
0.0,0.0,673.0
0.0,0.0,658.0
0.0,0.0,637.0
0.0,0.0,616.0
0.0,0.0,673.0
0.0,0.0,659.0
0.0,0.0,638.0
0.0,0.0,615.0
0.0,0.0,673.0
0.0,0.0,658.0
0.0,0.0,638.0
0.0,0.0,616.0
0.0,0.0,673.0
0.0,0.0,659.0
0.0,0.0,638.0
0.0,0.0,617.0
0.0,0.0,674.0
0.0,0.0,658.0
0.0,0.0,639.0
0.0,0.0,618.0
0.0,0.0,673.0
0.0,0.0,658.0
0.0,0.0,643.0
0.0,0.0,621.0
0.0,0.0,673.0
0.0,0.0,656.0
0.0,0.0,641.0
0.0,0.0,619.0
0.0,0.0,673.0
0.0,0.0,656.0
0.0,0.0,640.0
25.0,6.0,620.0
0.0,0.0,673.0
0.0,0.0,656.0
0.0,0.0,640.0
25.0,6.0,623.0
0.0,0.0,673.0
0.0,0.0,656.0
0.0,0.0,638.0
25.0,6.0,624.0
0.0,0.0,673.0
0.0,0.0,656.0
0.0,0.0,638.0
25.0,6.0,625.0
0.0,0.0,673.0
0.0,0.0,655.0
0.0,0.0,638.0
25.0,6.0,626.0
0.0,0.0,673.0
0.0,0.0,654.0
0.0,0.0,638.0
25.0,6.0,626.0
0.0,0.0,673.0
0.0,0.0,654.0
0.0,0.0,637.0
25.0,6.0,626.0
0.0,0.0,673.0
0.0,0.0,653.0
0.0,0.0,636.0
25.0,6.0,625.0
0.0,0.0,673.0
0.0,0.0,653.0
0.0,0.0,635.0
25.0,6.0,625.0
0.0,0.0,672.0
0.0,0.0,654.0
0.0,0.0,634.0
25.0,6.0,624.0
0.0,0.0,677.0
0.0,0.0,657.0
0.0,0.0,634.0
25.0,6.0,624.0
0.0,0.0,671.0
0.0,0.0,654.0
0.0,0.0,632.0
25.0,6.0,622.0
0.0,0.0,673.0
0.0,0.0,654.0
0.0,0.0,632.0
25.0,6.0,621.0
0.0,0.0,672.0
0.0,0.0,654.0
0.0,0.0,632.0
25.0,6.0,620.0
0.0,0.0,673.0
0.0,0.0,655.0
0.0,0.0,633.0
25.0,6.0,621.0
0.0,0.0,671.0
0.0,0.0,655.0
14.0,0.0,634.0
25.0,6.0,618.0
0.0,0.0,672.0
0.0,0.0,655.0
14.0,0.0,633.0
25.0,6.0,617.0
0.0,0.0,673.0
0.0,0.0,656.0
14.0,0.0,634.0
25.0,6.0,616.0
0.0,0.0,673.0
0.0,0.0,657.0
14.0,0.0,635.0
25.0,6.0,616.0
0.0,0.0,673.0
0.0,0.0,657.0
14.0,0.0,636.0
25.0,6.0,616.0
0.0,0.0,673.0
0.0,0.0,657.0
14.0,0.0,636.0
25.0,6.0,616.0
0.0,0.0,674.0
0.0,0.0,658.0
14.0,0.0,636.0
25.0,6.0,616.0
0.0,0.0,673.0
0.0,0.0,659.0
14.0,0.0,637.0
25.0,6.0,616.0
0.0,0.0,673.0
0.0,0.0,659.0
14.0,0.0,637.0
25.0,6.0,618.0
0.0,0.0,671.0
0.0,0.0,658.0
14.0,0.0,640.0
25.0,6.0,616.0
0.0,0.0,672.0
0.0,0.0,657.0
14.0,0.0,640.0
25.0,6.0,617.0
0.0,0.0,673.0
0.0,0.0,657.0
14.0,0.0,640.0
25.0,6.0,617.0
0.0,0.0,673.0
0.0,0.0,657.0
14.0,0.0,640.0
25.0,6.0,620.0
0.0,0.0,672.0
0.0,0.0,657.0
14.0,0.0,640.0
25.0,6.0,622.0
0.0,0.0,673.0
0.0,0.0,656.0
37.0,9.0,639.0
25.0,6.0,623.0
0.0,0.0,673.0
0.0,0.0,656.0
37.0,9.0,639.0
25.0,6.0,624.0
0.0,0.0,673.0
0.0,0.0,655.0
37.0,9.0,638.0
25.0,6.0,624.0
0.0,0.0,673.0
0.0,0.0,655.0
37.0,9.0,638.0
25.0,6.0,625.0
0.0,0.0,673.0
0.0,0.0,654.0
37.0,9.0,637.0
25.0,6.0,626.0
0.0,0.0,671.0
0.0,0.0,653.0
37.0,9.0,636.0
25.0,6.0,624.0
0.0,0.0,672.0
0.0,0.0,653.0
37.0,9.0,636.0
25.0,6.0,624.0
0.0,0.0,673.0
0.0,0.0,654.0
37.0,9.0,635.0
25.0,6.0,624.0
0.0,0.0,673.0
0.0,0.0,653.0
37.0,9.0,635.0
25.0,6.0,624.0
0.0,0.0,673.0
0.0,0.0,654.0
37.0,9.0,634.0
25.0,6.0,624.0
0.0,0.0,673.0
0.0,0.0,654.0
37.0,9.0,634.0
25.0,6.0,623.0
0.0,0.0,673.0
0.0,0.0,654.0
37.0,9.0,633.0
25.0,6.0,623.0
0.0,0.0,672.0
0.0,0.0,654.0
37.0,9.0,633.0
25.0,6.0,622.0
0.0,0.0,673.0
0.0,0.0,655.0
37.0,9.0,633.0
25.0,6.0,621.0
0.0,0.0,673.0
0.0,0.0,655.0
37.0,18.0,633.0
25.0,6.0,618.0
0.0,0.0,673.0
0.0,0.0,655.0
37.0,18.0,634.0
25.0,6.0,618.0
0.0,0.0,673.0
0.0,0.0,656.0
37.0,18.0,634.0
25.0,6.0,617.0
0.0,0.0,673.0
0.0,0.0,657.0
37.0,18.0,634.0
25.0,6.0,616.0
0.0,0.0,673.0
0.0,0.0,658.0
37.0,18.0,635.0
25.0,6.0,616.0
0.0,0.0,673.0
0.0,0.0,658.0
37.0,18.0,636.0
25.0,6.0,615.0
0.0,0.0,673.0
0.0,0.0,658.0
37.0,18.0,637.0
25.0,6.0,616.0
0.0,0.0,673.0
0.0,0.0,658.0
37.0,18.0,637.0
25.0,6.0,616.0
0.0,0.0,673.0
0.0,0.0,659.0
37.0,18.0,637.0
25.0,6.0,616.0
0.0,0.0,673.0
0.0,0.0,659.0
37.0,18.0,638.0
